"time","X","Y","Z","c2"
0,0.6,0.2,0.1,0.06
1,0.541591240747487,0.386157828479374,0.100277807398011,0.06
2,0.299997157954794,0.658738857327862,0.101003579164006,0.06
3,0.0548469238310078,0.738337826410902,0.102000545343136,0.06
4,0.0070295355545,0.546810289257489,0.102912645079721,0.06
5,0.00201119661579204,0.372168683998683,0.103557451770296,0.06
6,0.00118230565772113,0.250352984930123,0.103908681665961,0.06
7,0.00114736175604638,0.168016387681104,0.103985983509113,0.06
8,0.00156207553218374,0.11281115763715,0.10382963563846,0.06
9,0.00266764635442994,0.0759877216690304,0.10348788830764,0.06
10,0.00529268035636609,0.0516147107810371,0.103007846697563,0.06
11,0.0115640957286345,0.0357669361875673,0.10243045753262,0.06
12,0.0267200417872996,0.0259605675933599,0.101789250411592,0.06
13,0.0628449766796821,0.0208454919403491,0.101111694393056,0.06
14,0.14324026438382,0.0202189838444287,0.100422552555511,0.06
15,0.294149331504357,0.0256079207161,0.0997499196230744,0.06
16,0.500081995018829,0.0419437750934527,0.0991363025149111,0.06
17,0.6754145448302,0.0812116241727874,0.0986565823694728,0.06
18,0.740735261801476,0.169159213234678,0.0984346567420001,0.06
19,0.660617944358837,0.351749663051493,0.0986227539860658,0.06
20,0.396326350061795,0.657843958751329,0.0992990519994892,0.06
21,0.074963593586217,0.828294210269794,0.100322409848229,0.06
22,0.00656786879985792,0.625777724510201,0.101316083393182,0.06
23,0.00135716144561181,0.424588438874814,0.10205253671875,0.06
24,0.000642928487657199,0.28486191991822,0.102494121525765,0.06
25,0.000541204205513753,0.190689108199207,0.102653562590902,0.06
26,0.000671377388240068,0.127598613727301,0.102566618627699,0.06
27,0.0010796127028626,0.0854570234285988,0.10227994031605,0.06
28,0.00206366971407215,0.0574037322887889,0.101841166272776,0.06
29,0.00442009930698905,0.038851947381864,0.101292625329805,0.06
30,0.0101828516689379,0.0267812987745343,0.100668864796599,0.06
31,0.0244365341032643,0.0192824792997561,0.0999969108751362,0.06
32,0.059169168927256,0.0153048121947507,0.0992981453627358,0.06
33,0.138266508376936,0.0146499376888103,0.0985912626286514,0.06
34,0.290610728466069,0.018387830792749,0.0978970047197087,0.06
35,0.504578312791173,0.0301008345356094,0.0972467648882453,0.06
36,0.694549583504639,0.0586873294442418,0.0966977325119676,0.06
37,0.781771223105046,0.123964937011267,0.0963521970678872,0.06
38,0.74088954986365,0.265101347541035,0.0963576708961896,0.06
39,0.538522696443779,0.533583021373026,0.0968377962870603,0.06
40,0.177408441302785,0.833471503856773,0.097753042679053,0.06
41,0.014965555926567,0.730393681922872,0.0987936879616352,0.06
42,0.00200341805608642,0.502681157773612,0.0996337571529298,0.06
43,0.000688172564587326,0.337783952464385,0.100189530652778,0.06
44,0.00046606370278895,0.226161311650232,0.100459812603087,0.06
45,0.000499606504936552,0.151287981596432,0.100471844099296,0.06
46,0.000728852283825895,0.10122269224157,0.100268175587735,0.06
47,0.00130619620315493,0.0678321264622788,0.0998960286260204,0.06
48,0.00268291692106581,0.0456540985220304,0.0993995114033463,0.06
49,0.00602524912423357,0.0310574231612985,0.098815660747379,0.06
50,0.0142951246822093,0.0216827639247047,0.0981737266641401,0.06
51,0.0348028918657935,0.0160890352950547,0.0974963464179893,0.06
52,0.0840163081356349,0.0136028237444529,0.0968018077602836,0.06
53,0.190657117092279,0.0144424132759631,0.0961073678311242,0.06
54,0.375262615713328,0.0203658033023023,0.0954347967836447,0.06
55,0.59402393037343,0.0363339235163804,0.09482064175179,0.06
56,0.750253209667533,0.0740885461019806,0.0943331954626997,0.06
57,0.791319289986049,0.15896580941468,0.0940893402546831,0.06
58,0.699370817402531,0.337646283940631,0.094237897772068,0.06
59,0.431300178652891,0.648188892311268,0.0948637034286475,0.06
60,0.0860708158160397,0.852370599322748,0.0958456235578557,0.06
61,0.00679633729097914,0.65242634148459,0.0968214947063974,0.06
62,0.00125812978823528,0.44269300782516,0.0975557624524569,0.06
63,0.000553273071341753,0.296933492446901,0.0980075140426477,0.06
64,0.000443255838105493,0.198726158940832,0.0981865585077107,0.06
65,0.00053192408920333,0.132932900177047,0.0981255644372712,0.06
66,0.000836827417763765,0.0889709922608371,0.0978686112903945,0.06
67,0.00157684889615154,0.0596773030860912,0.0974614882155041,0.06
68,0.00334801823407893,0.0402549342960056,0.0969452975776523,0.06
69,0.00767980664018374,0.0275317011108236,0.096353709481311,0.06
70,0.0184390830508445,0.0194683863810164,0.0957129996491937,0.06
71,0.0450113394901319,0.0148686719082672,0.0950435641620055,0.06
72,0.107530390372868,0.0132946110438001,0.0943623864097114,0.06
73,0.236453272591566,0.0153053731428751,0.0936866961757443,0.06
74,0.439634075808418,0.0233273994272091,0.0930403710750697,0.06
75,0.650106397453019,0.0437336044562627,0.0924657097566376,0.06
76,0.775839274586142,0.0911941334119556,0.0920413911954988,0.06
77,0.781514833098683,0.196442513709206,0.0918946061447746,0.06
78,0.645671379966423,0.411151148296455,0.0921664124309374,0.06
79,0.326261585333929,0.74131193339667,0.0928975964802917,0.06
80,0.0418433897451685,0.819709615570087,0.0938946195412988,0.06
81,0.0038354396764203,0.588088746107209,0.0947934620464707,0.06
82,0.000926228301884787,0.396790226361221,0.0954355752103495,0.06
83,0.000492034447143515,0.265914981706151,0.0958014152814569,0.06
84,0.000447799639973538,0.177937383838785,0.0959079894492272,0.06
85,0.000585348244856024,0.119042049868944,0.0957913199088887,0.06
86,0.000974940048714174,0.0797120000232939,0.095495739910911,0.06
87,0.00190792705923436,0.0535290232914869,0.0950651592961363,0.06
88,0.00415290196560267,0.0362050738575952,0.0945378387314002,0.06
89,0.00967414171663962,0.0249211264293428,0.0939445859418596,0.06
90,0.0234052173848855,0.0178897918240082,0.0933092823223565,0.06
91,0.0570659192231626,0.0141197311100208,0.0926506419409187,0.06
92,0.134323627659838,0.0133995062143825,0.0919848582987972,0.06
93,0.284865138922014,0.0166658240822237,0.0913296859982905,0.06
94,0.49976533054326,0.0271251686685461,0.0907118209375023,0.06
95,0.694747034309829,0.0528093348657965,0.090180161835452,0.06
96,0.789747732245553,0.111777446005769,0.0898239423340834,0.06
97,0.760981779695818,0.240541140230516,0.0897775040840809,0.06
98,0.579140213817358,0.492446914478061,0.0901660142218864,0.06
99,0.223458070218785,0.81350500922068,0.0909796943560239,0.06
100,0.0205367978022087,0.763834433818062,0.0919592498656319,0.06
101,0.00238940093626801,0.530453894161533,0.092776169426804,0.06
102,0.000731840616095498,0.35682757512602,0.0933314017644426,0.06
103,0.000458214283037574,0.239006857544694,0.0936188119572296,0.06
104,0.000465827518076427,0.159922017987344,0.0936610381385171,0.06
105,0.000655796319097748,0.10701260224574,0.0934963836100272,0.06
106,0.00114762023792317,0.0717005452127332,0.0931687223436751,0.06
107,0.00232037174264126,0.0482179532687063,0.0927198084946673,0.06
108,0.00515888288026363,0.0327221385167274,0.092185115625026,0.06
109,0.0121719181413224,0.0227030304205673,0.0915928164774488,0.06
110,0.0296044560622786,0.0166002507456923,0.0909646839811309,0.06
111,0.0718772200100584,0.0136192360742078,0.0903180466412958,0.06
112,0.165919613143308,0.0137936666305574,0.0896686384538564,0.06
113,0.337411519479387,0.0185064290190543,0.0890352028310773,0.06
114,0.557294575268332,0.0319057269077672,0.0884479872114055,0.06
115,0.731060131125444,0.0640178900768142,0.0879634010561111,0.06
116,0.794665783876683,0.136874802752515,0.0876811771163381,0.06
117,0.730089020066794,0.292988172019489,0.0877387628476631,0.06
118,0.49898446280727,0.58103959852983,0.0882370835727979,0.06
119,0.134929458366698,0.851788819002375,0.0891098169380767,0.06
120,0.0105704723863864,0.70009931718709,0.0900467967066721,0.06
121,0.00160527947179569,0.478314973123943,0.0907805314400865,0.06
122,0.000609472724358334,0.321185010723119,0.0912530969450995,0.06
123,0.000441848331718324,0.215059835796691,0.0914678768381266,0.06
124,0.000495707287140827,0.143901183087011,0.0914520170484353,0.06
