"center_idx","theta_opt","rho0","rho_opt","delta_rho","b_median","b_sd","time"
400,1.5,0.978737036574962,0.981969511669496,0.00323247509453406,-0.411901035445795,5.01110009936951,2399
450,0.5,0.98232466483451,0.982435589661459,0.000110924826948633,-0.415820803348512,33.0376780216786,2449
500,1,0.986257664247795,0.987666824271265,0.00140916002347002,-0.00577043867299502,15.8122947244044,2499
550,2,0.98874136304457,0.991140014039456,0.00239865099488534,-0.220398989443385,9.84028862425995,2549
600,0,0.991366330835985,0.991366330835985,0,-0.182496477226855,2.71295605072446,2599
650,0,0.992675240617435,0.992675240617435,0,0.962975428323439,18.6725925273956,2649
700,0,0.993415952258103,0.993415952258103,0,-0.4912726888057,1.23459147344098,2699
750,0,0.994838688611122,0.994838688611122,0,-1.04038488817786,1.65613557660991,2749
800,0,0.995205550869839,0.995205550869839,0,-0.533556091232188,1.3480826625664,2799
850,0,0.996319812987931,0.996319812987931,0,-0.382508061746359,15.8766043305193,2849
900,7.5,0.996670088507888,0.996933412407922,0.000263323900034251,-0.543359613142773,0.760478708340133,2899
950,0,0.997338520204192,0.997338520204192,0,-0.261712437544405,1.73123727075075,2949
1000,2,0.997719394015203,0.998074473922095,0.000355079906892097,-0.481630136833515,1.131711378112,2999
1050,0,0.998043744271953,0.998043744271953,0,-0.0700556664944524,1.65558983620825,3049
1100,2,0.998440965042007,0.998523854469851,8.28894278437353e-05,-0.425966625392784,4.17409046712278,3099
1150,0,0.998519386908515,0.998519386908515,0,0.754234606903536,14.1034449133148,3149
1200,0.5,0.998827679499201,0.998833871886398,6.19238719656856e-06,-0.401227590174483,0.448429106505442,3199
1250,0,0.998881527458478,0.998881527458478,0,-0.954844061375464,40.7320366456336,3249
1300,0,0.999053879467908,0.999053879467908,0,-0.466041290204625,0.85844458724786,3299
1350,0.5,0.999063341317647,0.999083672854295,2.03315366481549e-05,-0.180327511857133,7.56637948734201,3349
1400,0,0.999257905866641,0.999257905866641,0,-1.11921991502543,29.7926865264914,3399
1450,7,0.998254648775638,0.998939495961852,0.000684847186213311,-0.0223224285508778,502.2577895419,3449
1500,0,0.999477207539699,0.999477207539699,0,1.25212971379793,3.52511424248418,3499
1550,4.5,0.998453857243037,0.999518045375184,0.00106418813214693,-0.123091656052071,24.34451939142,3549
1600,0,0.999635705445895,0.999635705445895,0,1.28934610002554,1.63018506858469,3599
1650,1.5,0.992465924103526,0.999685847160511,0.00721992305698482,-0.152860432766085,1.20989013460121,3649
1700,1,0.987581146303743,0.999780118319255,0.012198972015512,0.897475907484688,0.848582817672727,3699
1750,7,0.999794286118404,0.999931966225076,0.000137680106672255,0.658463795557099,0.280773352581039,3749
1800,2,0.999839602579207,0.999844704798392,5.10221918492704e-06,0.31300538322115,1.59500347109671,3799
1850,0,0.999910552485437,0.999910552485437,0,0.804843624066873,0.407408035974475,3849
1900,2,0.99883054943386,0.999907623062697,0.00107707362883691,0.684924307122518,1.05489046469973,3899
1950,0,0.999947585199604,0.999947585199604,0,0.713122855265974,1.41353478900101,3949
2000,1.5,0.999920599965986,0.999947404476935,2.68045109487192e-05,1.00447205315786,2.9514145150686,3999
2050,0.5,0.999915562201425,0.999941775837818,2.6213636392769e-05,1.00221854954263,0.441054293286722,4049
2100,3,0.99992852343514,0.999932036475716,3.51304057644164e-06,0.651798250780756,1.90815437976599,4099
2150,0,0.999949083309118,0.999949083309118,0,1.37260117043563,443.000952756995,4149
2200,2.5,0.999932063568645,0.999935986854924,3.9232862786287e-06,1.33088001517432,25.9650150585513,4199
2250,0,0.999962468640088,0.999962468640088,0,0.715504678504181,450.004514445322,4249
2300,2.5,0.999920918108417,0.999923005513395,2.08740497820159e-06,1.27024066209056,2.67337236914215,4299
2350,0.5,0.995597859128121,0.999959284227269,0.00436142509914839,0.97427154406163,1.24242099716794,4349
2400,1.5,0.999968161651307,0.999968484447525,3.2279621831055e-07,0.505978572265763,1.66495911726399,4399
2450,0,0.999941879367338,0.999941879367338,0,0.762151214838506,5.18082274996098,4449
2500,0,0.999975353889284,0.999975353889284,0,0.780573329617694,2.67029964250829,4499
2550,0.5,0.999974828627964,0.999975287120593,4.58492628419016e-07,1.01848763804326,124.461564084505,4549
2600,0.5,0.999958086745449,0.999962628155328,4.54140987948826e-06,1.05433211027188,1.53905608755299,4599
2650,0,0.999991401317969,0.999991401317969,0,0.774044504818361,11.9765981819883,4649
2700,0.5,0.999954035963354,0.999981581487602,2.75455242485512e-05,0.283783980232714,2.87768419498612,4699
2750,1.5,0.999931439129274,0.999949065797272,1.7626667997761e-05,1.80941858558827,1.0890025083401,4749
2800,1,0.999936932086577,0.999938706636995,1.77455041860952e-06,0.896873815875996,2.03631316453579,4799
2850,6.5,0.999909283500112,0.999950877395824,4.15938957119e-05,0.771252433723381,2.61729936443861,4849
2900,1,0.999976514486334,0.999980934275194,4.41978886067673e-06,0.920887522049995,2.09394040029937,4899
2950,0.5,0.999977396290706,0.999982428476509,5.03218580216735e-06,1.06212341180992,3.82653871355642,4949
3000,0,0.999974795720113,0.999974795720113,0,0.85635250536372,26.9133554577688,4999
3050,0,0.999988088347153,0.999988088347153,0,0.916243989992835,6.06813153402541,5049
3100,4.5,0.963686653763221,0.999953802535042,0.0362671487718214,0.897230715666119,2.50517705974433,5099
3150,1.5,0.999880655813746,0.999952289084049,7.16332703027955e-05,1.08713027084254,7.41259595018198,5149
3200,0,0.999990837767929,0.999990837767929,0,0.887116488072991,21.0535960661508,5199
3250,2,0.995797187681947,0.999952106456338,0.00415491877439134,0.839693214965346,16.981143462332,5249
3300,1,0.999972182960489,0.999978787141013,6.60418052433887e-06,0.662050109274926,7.33423001065517,5299
3350,1.5,0.999723906202916,0.999856855786336,0.000132949583419362,1.12005764129086,11.6782942031891,5349
3400,0,0.999957916355952,0.999957916355952,0,1.08895364735829,16.4567990181231,5399
3450,0.5,0.999880867834188,0.999963118862704,8.22510285160005e-05,0.911407617982908,5.99059682137267,5449
3500,0.5,0.99998844714587,0.99998930301708,8.55871209903825e-07,0.865146560114463,1.58790257448215,5499
3550,0,0.999987261820208,0.999987261820208,0,1.08880242019704,2.05470762666053,5549
3600,0.5,0.997260341387662,0.999890605015147,0.00263026362748486,0.817045859219123,3.24532876617854,5599
3650,0,0.999994466344721,0.999994466344721,0,0.856001909394998,1.34104227388916,5649
3700,0,0.999557389174962,0.999557389174962,0,0.921979400848392,6.02247201082454,5699
3750,0.5,0.999951042408483,0.999993667925328,4.26255168453071e-05,0.895830735488183,2.30273360722258,5749
3800,0,0.999911550216247,0.999911550216247,0,1.13996112208228,4.74527662647624,5799
3850,0,0.999989144015101,0.999989144015101,0,1.09166736711765,12.3937105339225,5849
3900,0,0.999948465835141,0.999948465835141,0,0.799807189928285,6.44364889340765,5899
3950,0.5,0.99956499202129,0.999891118580236,0.000326126558946149,1.1506864909177,22.1075489654688,5949
4000,0,0.999986644592454,0.999986644592454,0,0.941292542846836,3.24237104448884,5999
4050,0,0.999869892940042,0.999869892940042,0,0.625729897421873,2.99311016273923,6049
4100,0.5,0.99998539781245,0.99999653426283,1.11364503796452e-05,1.01822248246426,1.44906336434914,6099
4150,3.5,0.954968069301137,0.999744465878713,0.0447763965775757,0.805763523069534,21.3902465174702,6149
4200,0,0.999994204796035,0.999994204796035,0,0.905356802449302,5.20324943101395,6199
4250,1,0.999514589471777,0.999977309895557,0.000462720423779484,1.03585496471565,3.97839635574926,6249
4300,0,0.999992708212,0.999992708212,0,1.16894055365546,26.4934464743163,6299
4350,0.5,0.999845313449962,0.99994452248742,9.92090374586363e-05,0.892701991727843,1.58172048504787,6349
4400,0,0.999935442809668,0.999935442809668,0,1.08745585515298,12.4496948161493,6399
4450,0,0.999989657487089,0.999989657487089,0,0.752892688734352,8.49621474157261,6449
4500,1.5,0.999284763653579,0.999911995715905,0.000627232062326399,0.777862911453369,5.76053226765616,6499
4550,0.5,0.999959611566972,0.999991207889635,3.15963226623639e-05,0.74712769854314,4.04891676036476,6549
4600,0.5,0.999954733356536,0.999960073708166,5.34035162980118e-06,1.05505679290431,3.66377841711754,6599
4650,0,0.999927497931935,0.999927497931935,0,0.699394076478977,8.05392135430189,6649
4700,0,0.9999852003041,0.9999852003041,0,0.897905183297878,3.81950432087484,6699
4750,0,0.99996478867977,0.99996478867977,0,0.78373223673942,6.8215122008186,6749
4800,0.5,0.99987969507725,0.999993051534981,0.000113356457731362,1.07057269021461,4.64293824475208,6799
4850,0,0.999974599916028,0.999974599916028,0,0.989606112507201,4.33463001094758,6849
4900,0,0.999983247763321,0.999983247763321,0,0.788719171837228,3.11735237436521,6899
4950,0.5,0.999409005617049,0.999954191408101,0.000545185791051561,0.74067924818332,6.97617815153271,6949
5000,0,0.999987023219002,0.999987023219002,0,0.948022659823777,3.94035964626772,6999
5050,0.5,0.999950460650044,0.999978897351535,2.84367014907749e-05,0.745188416638623,100.180429927682,7049
5100,0.5,0.99999853390011,0.999999106079972,5.72179862601274e-07,1.05852108072221,20.6214211363157,7099
5150,0.5,0.99997581894391,0.999988520753638,1.27018097272336e-05,0.656381725026242,5.4236616142009,7149
5200,0.5,0.999763248687266,0.999989730103961,0.000226481416695234,0.845692449077557,5.94546754218163,7199
5250,0.5,0.999938941153676,0.999952840804263,1.38996505870681e-05,0.694973340328969,8.30312266377063,7249
5300,0,0.999993479828057,0.999993479828057,0,0.707538493802077,2.32969899946973,7299
5350,1,0.999980715998031,0.999982081838137,1.36584010579366e-06,0.887318352439569,9.60976865386278,7349
5400,0,0.999873251017233,0.999873251017233,0,0.928027560991687,7.67825308164758,7399
5450,0.5,0.999829774726158,0.999988742100718,0.000158967374560004,0.889946748473118,4.81976754501744,7449
5500,0,0.999977810912104,0.999977810912104,0,0.865839428381974,2.9392689484259,7499
5550,3,0.999125565253538,0.999745104233267,0.000619538979729328,0.724256171032814,7.34557054688478,7549
5600,0,0.999985390550436,0.999985390550436,0,0.80602684779427,10.6947027130667,7599
